experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit_mode,take_profit
10:0010:02_L1SL15_L2SL15_L3SL15_RangeBoundary,10:00-10:02,15,15,15,-474.0,2769.0,5.841772151898734,range_boundary,
10:0010:02_L1SL15_L2SL15_L3SL15_TP40,10:00-10:02,15,15,15,-360.0,2202.0,6.116666666666666,,40.0
10:0010:02_L1SL15_L2SL15_L3SL15_TP50,10:00-10:02,15,15,15,-474.0,2283.0,4.8164556962025316,,50.0
10:0010:02_L1SL15_L2SL15_L3SL15_TP60,10:00-10:02,15,15,15,-474.0,2373.0,5.006329113924051,,60.0
10:0010:02_L1SL15_L2SL15_L3SL15_TP70,10:00-10:02,15,15,15,-474.0,2463.0,5.19620253164557,,70.0
10:0010:02_L1SL15_L2SL15_L3SL15_TP80,10:00-10:02,15,15,15,-474.0,2541.0,5.360759493670886,,80.0
10:0010:02_L1SL15_L2SL15_L3SL20_RangeBoundary,10:00-10:02,15,15,20,-569.0,2634.0,4.629173989455184,range_boundary,
10:0010:02_L1SL15_L2SL15_L3SL20_TP40,10:00-10:02,15,15,20,-429.0,2011.0,4.687645687645688,,40.0
10:0010:02_L1SL15_L2SL15_L3SL20_TP50,10:00-10:02,15,15,20,-569.0,2097.0,3.685413005272408,,50.0
10:0010:02_L1SL15_L2SL15_L3SL20_TP60,10:00-10:02,15,15,20,-569.0,2197.0,3.86115992970123,,60.0
10:0010:02_L1SL15_L2SL15_L3SL20_TP70,10:00-10:02,15,15,20,-569.0,2297.0,4.036906854130053,,70.0
10:0010:02_L1SL15_L2SL15_L3SL20_TP80,10:00-10:02,15,15,20,-569.0,2385.0,4.191564147627417,,80.0
10:0010:02_L1SL15_L2SL15_L3SL25_RangeBoundary,10:00-10:02,15,15,25,-576.0,2814.0,4.885416666666667,range_boundary,
10:0010:02_L1SL15_L2SL15_L3SL25_TP40,10:00-10:02,15,15,25,-534.0,2092.0,3.9176029962546814,,40.0
10:0010:02_L1SL15_L2SL15_L3SL25_TP50,10:00-10:02,15,15,25,-589.0,2231.0,3.7877758913412563,,50.0
10:0010:02_L1SL15_L2SL15_L3SL25_TP60,10:00-10:02,15,15,25,-576.0,2354.0,4.086805555555555,,60.0
10:0010:02_L1SL15_L2SL15_L3SL25_TP70,10:00-10:02,15,15,25,-576.0,2477.0,4.300347222222222,,70.0
10:0010:02_L1SL15_L2SL15_L3SL25_TP80,10:00-10:02,15,15,25,-576.0,2565.0,4.453125,,80.0
10:0010:02_L1SL15_L2SL15_L3SL30_RangeBoundary,10:00-10:02,15,15,30,-636.0,2551.0,4.011006289308176,range_boundary,
10:0010:02_L1SL15_L2SL15_L3SL30_TP40,10:00-10:02,15,15,30,-592.0,1899.0,3.20777027027027,,40.0
10:0010:02_L1SL15_L2SL15_L3SL30_TP50,10:00-10:02,15,15,30,-649.0,2048.0,3.1556240369799693,,50.0
10:0010:02_L1SL15_L2SL15_L3SL30_TP60,10:00-10:02,15,15,30,-636.0,2181.0,3.4292452830188678,,60.0
10:0010:02_L1SL15_L2SL15_L3SL30_TP70,10:00-10:02,15,15,30,-636.0,2314.0,3.638364779874214,,70.0
10:0010:02_L1SL15_L2SL15_L3SL30_TP80,10:00-10:02,15,15,30,-636.0,2302.0,3.619496855345912,,80.0
10:0010:02_L1SL15_L2SL15_L3SL45_RangeBoundary,10:00-10:02,15,15,45,-722.0,2746.0,3.8033240997229916,range_boundary,
10:0010:02_L1SL15_L2SL15_L3SL45_TP40,10:00-10:02,15,15,45,-686.0,2109.0,3.074344023323615,,40.0
10:0010:02_L1SL15_L2SL15_L3SL45_TP50,10:00-10:02,15,15,45,-735.0,2258.0,3.072108843537415,,50.0
10:0010:02_L1SL15_L2SL15_L3SL45_TP60,10:00-10:02,15,15,45,-722.0,2391.0,3.311634349030471,,60.0
