experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit_mode,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit
10:3010:32_L1SL15_L2SL15_L3SL15_RangeBoundary,10:30-10:32,15,15,15,-390.0,2334.0,5.984615384615385,range_boundary,,,,
10:3010:32_L1SL15_L2SL15_L3SL15_TP55,10:30-10:32,15,15,15,-645.0,1989.0,3.083720930232558,,55.0,,,
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP40,10:30-10:32,15,15,15,-660.0,2475.0,3.75,,,40.0,40.0,40.0
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP50,10:30-10:32,15,15,15,-640.0,2330.0,3.640625,,,40.0,40.0,50.0
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP60,10:30-10:32,15,15,15,-620.0,2411.0,3.888709677419355,,,40.0,40.0,60.0
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP70,10:30-10:32,15,15,15,-600.0,2471.0,4.118333333333333,,,40.0,40.0,70.0
10:3010:32_L1SL15TP40_L2SL15TP50_L3SL15TP40,10:30-10:32,15,15,15,-640.0,2330.0,3.640625,,,40.0,50.0,40.0
10:3010:32_L1SL15TP40_L2SL15TP50_L3SL15TP50,10:30-10:32,15,15,15,-620.0,2185.0,3.524193548387097,,,40.0,50.0,50.0
10:3010:32_L1SL15TP40_L2SL15TP50_L3SL15TP60,10:30-10:32,15,15,15,-600.0,2266.0,3.776666666666667,,,40.0,50.0,60.0
10:3010:32_L1SL15TP40_L2SL15TP50_L3SL15TP70,10:30-10:32,15,15,15,-580.0,2326.0,4.010344827586207,,,40.0,50.0,70.0
10:3010:32_L1SL15TP40_L2SL15TP60_L3SL15TP40,10:30-10:32,15,15,15,-620.0,2411.0,3.888709677419355,,,40.0,60.0,40.0
10:3010:32_L1SL15TP40_L2SL15TP60_L3SL15TP50,10:30-10:32,15,15,15,-600.0,2266.0,3.776666666666667,,,40.0,60.0,50.0
10:3010:32_L1SL15TP40_L2SL15TP60_L3SL15TP60,10:30-10:32,15,15,15,-580.0,2347.0,4.046551724137931,,,40.0,60.0,60.0
10:3010:32_L1SL15TP40_L2SL15TP60_L3SL15TP70,10:30-10:32,15,15,15,-560.0,2407.0,4.298214285714286,,,40.0,60.0,70.0
