配置ID,第2口觸發點,第2口回檔率,第3口觸發點,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
788,37,20%,50,1235.0,163.2,1071.8,128,70,58,53.1%,50.0%,56.9%,0.450s
789,37,20%,51,1279.8,188.8,1091.0,128,70,58,53.1%,50.0%,56.9%,0.461s
790,37,20%,52,1358.2,263.2,1095.0,128,70,58,53.1%,50.0%,56.9%,0.476s
791,37,20%,53,1415.8,308.0,1107.8,128,70,58,53.1%,50.0%,56.9%,0.457s
792,37,20%,54,1203.0,155.2,1047.8,126,69,57,52.4%,49.3%,56.1%,0.443s
793,37,20%,55,1239.0,164.0,1075.0,126,69,57,52.4%,49.3%,56.1%,0.440s
794,37,20%,56,1351.0,253.6,1097.4,126,69,57,52.4%,49.3%,56.1%,0.440s
795,37,20%,57,1210.2,176.8,1033.4,124,68,56,51.6%,48.5%,55.4%,0.508s
796,37,20%,58,1237.4,184.8,1052.6,124,68,56,51.6%,48.5%,55.4%,0.445s
797,37,20%,59,1267.0,211.2,1055.8,124,68,56,51.6%,48.5%,55.4%,0.503s
798,37,20%,60,1311.0,216.0,1095.0,124,68,56,51.6%,48.5%,55.4%,0.628s
799,37,25%,40,1476.4,569.9,906.5,136,76,60,57.4%,56.6%,58.3%,0.491s
800,37,25%,41,1527.6,581.1,946.5,136,76,60,57.4%,56.6%,58.3%,0.436s
801,37,25%,42,1339.2,460.2,879.0,133,74,59,56.4%,55.4%,57.6%,0.435s
802,37,25%,43,1311.7,401.5,910.2,132,73,59,56.1%,54.8%,57.6%,0.450s
803,37,25%,44,1330.1,401.5,928.6,132,73,59,56.1%,54.8%,57.6%,0.453s
804,37,25%,45,1231.9,272.1,959.8,131,72,59,55.0%,52.8%,57.6%,0.525s
805,37,25%,46,1268.7,272.9,995.8,131,72,59,55.0%,52.8%,57.6%,0.436s
806,37,25%,47,1247.8,317.8,930.1,130,72,58,54.6%,52.8%,56.9%,0.449s
807,37,25%,48,1271.8,325.0,946.9,130,72,58,54.6%,52.8%,56.9%,0.462s
808,37,25%,49,1117.4,155.3,962.1,128,70,58,53.9%,51.4%,56.9%,0.490s
809,37,25%,50,1103.6,106.3,997.3,128,70,58,53.1%,50.0%,56.9%,0.440s
810,37,25%,51,1148.4,131.9,1016.5,128,70,58,53.1%,50.0%,56.9%,0.441s
811,37,25%,52,1226.8,206.4,1020.5,128,70,58,53.1%,50.0%,56.9%,0.444s
812,37,25%,53,1284.4,251.2,1033.3,128,70,58,53.1%,50.0%,56.9%,0.451s
813,37,25%,54,1078.4,102.9,975.5,126,69,57,52.4%,49.3%,56.1%,0.493s
814,37,25%,55,1114.4,111.7,1002.7,126,69,57,52.4%,49.3%,56.1%,0.434s
815,37,25%,56,1226.4,201.3,1025.1,126,69,57,52.4%,49.3%,56.1%,0.439s
816,37,25%,57,1090.2,127.1,963.0,124,68,56,51.6%,48.5%,55.4%,0.440s
817,37,25%,58,1117.4,135.1,982.3,124,68,56,51.6%,48.5%,55.4%,0.513s
818,37,25%,59,1147.0,161.5,985.5,124,68,56,51.6%,48.5%,55.4%,0.435s
819,37,25%,60,1191.0,166.3,1024.7,124,68,56,51.6%,48.5%,55.4%,0.441s
820,37,30%,40,1353.5,509.8,843.7,136,76,60,57.4%,56.6%,58.3%,0.438s
821,37,30%,41,1404.7,521.0,883.7,136,76,60,57.4%,56.6%,58.3%,0.450s
822,37,30%,42,1222.2,404.0,818.2,133,74,59,56.4%,55.4%,57.6%,0.480s
823,37,30%,43,1196.8,347.4,849.4,132,73,59,56.1%,54.8%,57.6%,0.438s
824,37,30%,44,1215.2,347.4,867.8,132,73,59,56.1%,54.8%,57.6%,0.437s
825,37,30%,45,1119.1,220.1,899.0,131,72,59,55.0%,52.8%,57.6%,0.453s
826,37,30%,46,1155.9,220.9,935.0,131,72,59,55.0%,52.8%,57.6%,0.449s
827,37,30%,47,1137.3,265.7,871.6,130,72,58,54.6%,52.8%,56.9%,0.482s
828,37,30%,48,1161.3,272.9,888.4,130,72,58,54.6%,52.8%,56.9%,0.442s
829,37,30%,49,1011.7,108.1,903.6,128,70,58,53.9%,51.4%,56.9%,0.438s
830,37,30%,50,997.9,59.1,938.8,128,70,58,53.1%,50.0%,56.9%,0.464s
831,37,30%,51,1042.7,84.7,958.0,128,70,58,53.1%,50.0%,56.9%,0.495s
832,37,30%,52,1121.1,159.1,962.0,128,70,58,53.1%,50.0%,56.9%,0.435s
833,37,30%,53,1178.7,203.9,974.8,128,70,58,53.1%,50.0%,56.9%,0.436s
834,37,30%,54,975.3,56.0,919.3,126,69,57,52.4%,49.3%,56.1%,0.456s
835,37,30%,55,1011.3,64.8,946.5,126,69,57,52.4%,49.3%,56.1%,0.447s
836,37,30%,56,1123.3,154.4,968.9,126,69,57,52.4%,49.3%,56.1%,0.483s
837,37,30%,57,991.6,82.8,908.8,124,68,56,51.6%,48.5%,55.4%,0.463s
838,37,30%,58,1018.8,90.8,928.0,124,68,56,51.6%,48.5%,55.4%,0.438s
839,37,30%,59,1048.4,117.2,931.2,124,68,56,51.6%,48.5%,55.4%,0.450s
840,37,30%,60,1092.4,122.0,970.4,124,68,56,51.6%,48.5%,55.4%,0.439s
841,38,10%,40,1960.1,813.3,1146.8,136,76,60,57.4%,56.6%,58.3%,0.483s
842,38,10%,41,2011.3,824.5,1186.8,136,76,60,57.4%,56.6%,58.3%,0.443s
843,38,10%,42,1801.4,688.3,1113.1,133,74,59,56.4%,55.4%,57.6%,0.436s
844,38,10%,43,1767.6,623.3,1144.3,132,73,59,56.1%,54.8%,57.6%,0.435s
845,38,10%,44,1786.0,623.3,1162.7,132,73,59,56.1%,54.8%,57.6%,0.435s
846,38,10%,45,1681.7,487.8,1193.9,131,72,59,55.0%,52.8%,57.6%,0.488s
847,38,10%,46,1718.5,488.6,1229.9,131,72,59,55.0%,52.8%,57.6%,0.455s
848,38,10%,47,1690.7,533.4,1157.3,130,72,58,54.6%,52.8%,56.9%,0.445s
849,38,10%,48,1714.7,540.6,1174.1,130,72,58,54.6%,52.8%,56.9%,0.447s
850,38,10%,49,1545.9,356.6,1189.3,128,70,58,53.9%,51.4%,56.9%,0.444s
851,38,10%,50,1532.1,307.6,1224.5,128,70,58,53.1%,50.0%,56.9%,0.488s
852,38,10%,51,1576.9,333.2,1243.7,128,70,58,53.1%,50.0%,56.9%,0.435s
853,38,10%,52,1655.3,407.6,1247.7,128,70,58,53.1%,50.0%,56.9%,0.446s
854,38,10%,53,1712.9,452.4,1260.5,128,70,58,53.1%,50.0%,56.9%,0.439s
855,38,10%,54,1486.5,290.5,1196.0,126,69,57,52.4%,49.3%,56.1%,0.439s
856,38,10%,55,1522.5,299.3,1223.2,126,69,57,52.4%,49.3%,56.1%,0.482s
857,38,10%,56,1634.5,388.9,1245.6,126,69,57,52.4%,49.3%,56.1%,0.437s
858,38,10%,57,1484.6,306.9,1177.7,124,68,56,51.6%,48.5%,55.4%,0.455s
859,38,10%,58,1511.8,314.9,1196.9,124,68,56,51.6%,48.5%,55.4%,0.437s
860,38,10%,59,1541.4,341.3,1200.1,124,68,56,51.6%,48.5%,55.4%,0.437s
861,38,10%,60,1585.4,346.1,1239.3,124,68,56,51.6%,48.5%,55.4%,0.490s
862,38,15%,40,1793.3,725.6,1067.7,136,76,60,57.4%,56.6%,58.3%,0.438s
863,38,15%,41,1844.5,736.8,1107.7,136,76,60,57.4%,56.6%,58.3%,0.457s
864,38,15%,42,1640.8,604.7,1036.1,133,74,59,56.4%,55.4%,57.6%,0.452s
865,38,15%,43,1609.1,541.8,1067.3,132,73,59,56.1%,54.8%,57.6%,0.504s
866,38,15%,44,1627.5,541.8,1085.7,132,73,59,56.1%,54.8%,57.6%,0.481s
867,38,15%,45,1525.2,408.4,1116.9,131,72,59,55.0%,52.8%,57.6%,0.434s
868,38,15%,46,1562.0,409.2,1152.9,131,72,59,55.0%,52.8%,57.6%,0.447s
869,38,15%,47,1536.5,454.0,1082.6,130,72,58,54.6%,52.8%,56.9%,0.435s
870,38,15%,48,1560.6,461.2,1099.4,130,72,58,54.6%,52.8%,56.9%,0.473s
871,38,15%,49,1396.5,282.0,1114.6,128,70,58,53.9%,51.4%,56.9%,0.505s
872,38,15%,50,1382.7,233.0,1149.8,128,70,58,53.1%,50.0%,56.9%,0.566s
873,38,15%,51,1427.5,258.6,1169.0,128,70,58,53.1%,50.0%,56.9%,0.440s
874,38,15%,52,1506.0,333.0,1173.0,128,70,58,53.1%,50.0%,56.9%,0.438s
875,38,15%,53,1563.6,377.8,1185.8,128,70,58,53.1%,50.0%,56.9%,0.443s
876,38,15%,54,1344.0,220.4,1123.5,126,69,57,52.4%,49.3%,56.1%,0.454s
877,38,15%,55,1379.9,229.2,1150.7,126,69,57,52.4%,49.3%,56.1%,0.453s
878,38,15%,56,1491.9,318.8,1173.1,126,69,57,52.4%,49.3%,56.1%,0.474s
879,38,15%,57,1346.6,239.4,1107.2,124,68,56,51.6%,48.5%,55.4%,0.442s
880,38,15%,58,1373.8,247.4,1126.4,124,68,56,51.6%,48.5%,55.4%,0.434s
881,38,15%,59,1403.4,273.8,1129.6,124,68,56,51.6%,48.5%,55.4%,0.456s
882,38,15%,60,1447.4,278.6,1168.8,124,68,56,51.6%,48.5%,55.4%,0.435s
883,38,20%,40,1632.2,641.2,991.0,136,76,60,57.4%,56.6%,58.3%,0.447s
884,38,20%,41,1683.4,652.4,1031.0,136,76,60,57.4%,56.6%,58.3%,0.512s
885,38,20%,42,1485.8,524.4,961.4,133,74,59,56.4%,55.4%,57.6%,0.480s
886,38,20%,43,1456.2,463.6,992.6,132,73,59,56.1%,54.8%,57.6%,0.482s
887,38,20%,44,1474.6,463.6,1011.0,132,73,59,56.1%,54.8%,57.6%,0.454s
888,38,20%,45,1374.4,332.2,1042.2,131,72,59,55.0%,52.8%,57.6%,0.479s
889,38,20%,46,1411.2,333.0,1078.2,131,72,59,55.0%,52.8%,57.6%,0.457s
890,38,20%,47,1388.0,377.8,1010.2,130,72,58,54.6%,52.8%,56.9%,0.451s
891,38,20%,48,1412.0,385.0,1027.0,130,72,58,54.6%,52.8%,56.9%,0.470s
892,38,20%,49,1252.8,210.6,1042.2,128,70,58,53.9%,51.4%,56.9%,0.437s
893,38,20%,50,1239.0,161.6,1077.4,128,70,58,53.1%,50.0%,56.9%,0.481s
894,38,20%,51,1283.8,187.2,1096.6,128,70,58,53.1%,50.0%,56.9%,0.458s
895,38,20%,52,1362.2,261.6,1100.6,128,70,58,53.1%,50.0%,56.9%,0.438s
896,38,20%,53,1419.8,306.4,1113.4,128,70,58,53.1%,50.0%,56.9%,0.451s
897,38,20%,54,1207.0,153.6,1053.4,126,69,57,52.4%,49.3%,56.1%,0.487s
898,38,20%,55,1243.0,162.4,1080.6,126,69,57,52.4%,49.3%,56.1%,0.442s
899,38,20%,56,1355.0,252.0,1103.0,126,69,57,52.4%,49.3%,56.1%,0.435s
900,38,20%,57,1214.2,175.2,1039.0,124,68,56,51.6%,48.5%,55.4%,0.436s
901,38,20%,58,1241.4,183.2,1058.2,124,68,56,51.6%,48.5%,55.4%,0.449s
902,38,20%,59,1271.0,209.6,1061.4,124,68,56,51.6%,48.5%,55.4%,0.482s
903,38,20%,60,1315.0,214.4,1100.6,124,68,56,51.6%,48.5%,55.4%,0.446s
904,38,25%,40,1482.3,570.6,911.8,136,76,60,57.4%,56.6%,58.3%,0.472s
905,38,25%,41,1533.5,581.8,951.8,136,76,60,57.4%,56.6%,58.3%,0.435s
906,38,25%,42,1342.1,457.9,884.2,133,74,59,56.4%,55.4%,57.6%,0.480s
907,38,25%,43,1314.6,399.2,915.4,132,73,59,56.1%,54.8%,57.6%,0.453s
908,38,25%,44,1333.0,399.2,933.8,132,73,59,56.1%,54.8%,57.6%,0.439s
909,38,25%,45,1234.9,269.8,965.0,131,72,59,55.0%,52.8%,57.6%,0.435s
910,38,25%,46,1271.7,270.6,1001.0,131,72,59,55.0%,52.8%,57.6%,0.435s
911,38,25%,47,1250.8,315.5,935.3,130,72,58,54.6%,52.8%,56.9%,0.953s
912,38,25%,48,1274.8,322.7,952.1,130,72,58,54.6%,52.8%,56.9%,0.478s
913,38,25%,49,1120.4,153.0,967.3,128,70,58,53.9%,51.4%,56.9%,0.457s
914,38,25%,50,1106.5,104.0,1002.5,128,70,58,53.1%,50.0%,56.9%,0.521s
915,38,25%,51,1151.4,129.6,1021.7,128,70,58,53.1%,50.0%,56.9%,0.475s
916,38,25%,52,1229.8,204.1,1025.7,128,70,58,53.1%,50.0%,56.9%,0.451s
917,38,25%,53,1287.4,248.9,1038.5,128,70,58,53.1%,50.0%,56.9%,0.436s
918,38,25%,54,1081.4,100.6,980.8,126,69,57,52.4%,49.3%,56.1%,0.512s
919,38,25%,55,1117.4,109.4,1007.9,126,69,57,52.4%,49.3%,56.1%,0.443s
920,38,25%,56,1229.4,199.0,1030.3,126,69,57,52.4%,49.3%,56.1%,0.444s
921,38,25%,57,1093.1,124.8,968.3,124,68,56,51.6%,48.5%,55.4%,0.445s
922,38,25%,58,1120.3,132.8,987.5,124,68,56,51.6%,48.5%,55.4%,0.440s
923,38,25%,59,1149.9,159.2,990.7,124,68,56,51.6%,48.5%,55.4%,0.491s
924,38,25%,60,1193.9,164.0,1029.9,124,68,56,51.6%,48.5%,55.4%,0.444s
925,38,30%,40,1376.4,509.6,866.8,136,76,60,57.4%,56.6%,58.3%,0.435s
926,38,30%,41,1427.6,520.8,906.8,136,76,60,57.4%,56.6%,58.3%,0.434s
927,38,30%,42,1242.3,401.0,841.3,133,74,59,56.4%,55.4%,57.6%,0.497s
928,38,30%,43,1216.9,344.4,872.5,132,73,59,56.1%,54.8%,57.6%,0.473s
929,38,30%,44,1235.3,344.4,890.9,132,73,59,56.1%,54.8%,57.6%,0.441s
930,38,30%,45,1139.2,217.1,922.1,131,72,59,55.0%,52.8%,57.6%,0.495s
931,38,30%,46,1176.0,217.9,958.1,131,72,59,55.0%,52.8%,57.6%,0.437s
932,38,30%,47,1157.4,262.7,894.7,130,72,58,54.6%,52.8%,56.9%,0.480s
933,38,30%,48,1181.4,269.9,911.5,130,72,58,54.6%,52.8%,56.9%,0.440s
934,38,30%,49,1031.8,105.1,926.7,128,70,58,53.9%,51.4%,56.9%,0.458s
935,38,30%,50,1018.0,56.1,961.9,128,70,58,53.1%,50.0%,56.9%,0.434s
936,38,30%,51,1062.8,81.7,981.1,128,70,58,53.1%,50.0%,56.9%,0.483s
937,38,30%,52,1141.2,156.1,985.1,128,70,58,53.1%,50.0%,56.9%,0.436s
938,38,30%,53,1198.8,200.9,997.9,128,70,58,53.1%,50.0%,56.9%,0.440s
939,38,30%,54,995.4,53.0,942.4,126,69,57,52.4%,49.3%,56.1%,0.448s
940,38,30%,55,1031.4,61.8,969.6,126,69,57,52.4%,49.3%,56.1%,0.454s
941,38,30%,56,1143.4,151.4,992.0,126,69,57,52.4%,49.3%,56.1%,0.494s
942,38,30%,57,1011.7,79.8,931.9,124,68,56,51.6%,48.5%,55.4%,0.441s
943,38,30%,58,1038.9,87.8,951.1,124,68,56,51.6%,48.5%,55.4%,0.442s
944,38,30%,59,1068.5,114.2,954.3,124,68,56,51.6%,48.5%,55.4%,0.436s
945,38,30%,60,1112.5,119.0,993.5,124,68,56,51.6%,48.5%,55.4%,0.487s
946,39,10%,40,2081.6,917.7,1163.9,136,76,60,57.4%,56.6%,58.3%,0.436s
947,39,10%,41,2132.8,928.9,1203.9,136,76,60,57.4%,56.6%,58.3%,0.457s
948,39,10%,42,1922.9,792.7,1130.2,133,74,59,56.4%,55.4%,57.6%,0.437s
949,39,10%,43,1889.1,727.7,1161.4,132,73,59,56.1%,54.8%,57.6%,0.435s
950,39,10%,44,1907.5,727.7,1179.8,132,73,59,56.1%,54.8%,57.6%,0.489s
951,39,10%,45,1803.2,592.2,1211.0,131,72,59,55.0%,52.8%,57.6%,0.446s
952,39,10%,46,1840.0,593.0,1247.0,131,72,59,55.0%,52.8%,57.6%,0.436s
953,39,10%,47,1812.2,637.8,1174.4,130,72,58,54.6%,52.8%,56.9%,0.435s
954,39,10%,48,1836.2,645.0,1191.2,130,72,58,54.6%,52.8%,56.9%,0.453s
955,39,10%,49,1667.4,461.0,1206.4,128,70,58,53.9%,51.4%,56.9%,0.514s
956,39,10%,50,1653.6,412.0,1241.6,128,70,58,53.1%,50.0%,56.9%,0.448s
957,39,10%,51,1698.4,437.6,1260.8,128,70,58,53.1%,50.0%,56.9%,0.435s
958,39,10%,52,1776.8,512.0,1264.8,128,70,58,53.1%,50.0%,56.9%,0.449s
959,39,10%,53,1834.4,556.8,1277.6,128,70,58,53.1%,50.0%,56.9%,0.436s
960,39,10%,54,1606.2,393.1,1213.1,126,69,57,52.4%,49.3%,56.1%,0.480s
961,39,10%,55,1642.2,401.9,1240.3,126,69,57,52.4%,49.3%,56.1%,0.481s
962,39,10%,56,1754.2,491.5,1262.7,126,69,57,52.4%,49.3%,56.1%,0.438s
963,39,10%,57,1604.3,409.5,1194.8,124,68,56,51.6%,48.5%,55.4%,0.447s
964,39,10%,58,1631.5,417.5,1214.0,124,68,56,51.6%,48.5%,55.4%,0.483s
965,39,10%,59,1661.1,443.9,1217.2,124,68,56,51.6%,48.5%,55.4%,0.445s
966,39,10%,60,1705.1,448.7,1256.4,124,68,56,51.6%,48.5%,55.4%,0.439s
967,39,15%,40,1908.1,824.2,1083.9,136,76,60,57.4%,56.6%,58.3%,0.461s
968,39,15%,41,1959.3,835.4,1123.9,136,76,60,57.4%,56.6%,58.3%,0.458s
969,39,15%,42,1755.5,703.3,1052.2,133,74,59,56.4%,55.4%,57.6%,0.484s
970,39,15%,43,1723.9,640.4,1083.4,132,73,59,56.1%,54.8%,57.6%,0.437s
971,39,15%,44,1742.2,640.4,1101.8,132,73,59,56.1%,54.8%,57.6%,0.440s
972,39,15%,45,1640.0,507.0,1133.0,131,72,59,55.0%,52.8%,57.6%,0.439s
973,39,15%,46,1676.8,507.8,1169.0,131,72,59,55.0%,52.8%,57.6%,0.437s
974,39,15%,47,1651.3,552.6,1098.7,130,72,58,54.6%,52.8%,56.9%,0.480s
975,39,15%,48,1675.3,559.8,1115.5,130,72,58,54.6%,52.8%,56.9%,0.435s
976,39,15%,49,1511.3,380.6,1130.7,128,70,58,53.9%,51.4%,56.9%,0.457s
977,39,15%,50,1497.5,331.6,1165.9,128,70,58,53.1%,50.0%,56.9%,0.445s
978,39,15%,51,1542.3,357.2,1185.1,128,70,58,53.1%,50.0%,56.9%,0.445s
979,39,15%,52,1620.7,431.6,1189.1,128,70,58,53.1%,50.0%,56.9%,0.504s
980,39,15%,53,1678.3,476.4,1201.9,128,70,58,53.1%,50.0%,56.9%,0.479s
981,39,15%,54,1457.0,317.3,1139.7,126,69,57,52.4%,49.3%,56.1%,0.448s
982,39,15%,55,1493.0,326.1,1166.9,126,69,57,52.4%,49.3%,56.1%,0.435s
983,39,15%,56,1605.0,415.8,1189.2,126,69,57,52.4%,49.3%,56.1%,0.525s
984,39,15%,57,1459.7,336.3,1123.3,124,68,56,51.6%,48.5%,55.4%,0.436s
985,39,15%,58,1486.9,344.3,1142.5,124,68,56,51.6%,48.5%,55.4%,0.435s
986,39,15%,59,1516.5,370.7,1145.7,124,68,56,51.6%,48.5%,55.4%,0.438s
987,39,15%,60,1560.4,375.5,1184.9,124,68,56,51.6%,48.5%,55.4%,0.443s
988,39,20%,40,1740.2,734.0,1006.2,136,76,60,57.4%,56.6%,58.3%,0.435s
989,39,20%,41,1791.4,745.2,1046.2,136,76,60,57.4%,56.6%,58.3%,0.477s
990,39,20%,42,1593.8,617.2,976.6,133,74,59,56.4%,55.4%,57.6%,0.448s
991,39,20%,43,1564.2,556.4,1007.8,132,73,59,56.1%,54.8%,57.6%,0.437s
992,39,20%,44,1582.6,556.4,1026.2,132,73,59,56.1%,54.8%,57.6%,0.436s
993,39,20%,45,1482.4,425.0,1057.4,131,72,59,55.0%,52.8%,57.6%,0.604s
994,39,20%,46,1519.2,425.8,1093.4,131,72,59,55.0%,52.8%,57.6%,0.441s
995,39,20%,47,1496.0,470.6,1025.4,130,72,58,54.6%,52.8%,56.9%,0.445s
996,39,20%,48,1520.0,477.8,1042.2,130,72,58,54.6%,52.8%,56.9%,0.438s
997,39,20%,49,1360.8,303.4,1057.4,128,70,58,53.9%,51.4%,56.9%,0.468s
998,39,20%,50,1347.0,254.4,1092.6,128,70,58,53.1%,50.0%,56.9%,0.719s
999,39,20%,51,1391.8,280.0,1111.8,128,70,58,53.1%,50.0%,56.9%,0.485s
1000,39,20%,52,1470.2,354.4,1115.8,128,70,58,53.1%,50.0%,56.9%,0.441s
1001,39,20%,53,1527.8,399.2,1128.6,128,70,58,53.1%,50.0%,56.9%,0.447s
1002,39,20%,54,1313.4,244.8,1068.6,126,69,57,52.4%,49.3%,56.1%,0.444s
1003,39,20%,55,1349.4,253.6,1095.8,126,69,57,52.4%,49.3%,56.1%,0.456s
1004,39,20%,56,1461.4,343.2,1118.2,126,69,57,52.4%,49.3%,56.1%,0.464s
1005,39,20%,57,1320.6,266.4,1054.2,124,68,56,51.6%,48.5%,55.4%,0.559s
1006,39,20%,58,1347.8,274.4,1073.4,124,68,56,51.6%,48.5%,55.4%,0.438s
1007,39,20%,59,1377.4,300.8,1076.6,124,68,56,51.6%,48.5%,55.4%,0.440s
